ID,Fabric Type,Historical Demand,Current Demand,Future Demand,Price per Unit,Unit Type, Season, Occasion, Budget Category
397,Quilted Fabric,120,135,150,470,Meters,Winter,Casual,Medium
398,Raschel Knit Fabric,110,125,140,380,Meters,All-Season,Formal,Medium
399,Reinforced Fabric,95,110,130,420,Meters,All-Season,Industrial,Medium
400,Resin-Coated Fabric,100,115,130,450,Meters,All-Season,Industrial,Medium
401,Resin-Coated Fabric,150,170,190,450,Meters,All-Season,Formal,High
402,Vinyl-Coated Polyester,130,145,160,380,Meters,All-Season,Casual,Medium
403,PVC-Coated Fabric,110,125,140,320,Meters,All-Season,Casual,Low
404,Teflon-Coated Fabric,140,155,170,460,Meters,All-Season,Formal,High
405,Acrylic-Coated Cotton,95,110,125,350,Meters,All-Season,Casual,Medium
406,Fire-Resistant Wool,120,135,150,500,Kilograms,Winter,Formal,High
407,UV-Resistant Nylon,160,175,195,300,Meters,Summer,Sportswear,Medium
408,Waterproof Polyester,170,185,200,310,Meters,All-Season,Sportswear,Medium
409,Oil-Resistant Canvas,85,100,115,280,Meters,All-Season,Casual,Low
410,Waxed Cotton,105,120,135,350,Meters,All-Season,Casual,Medium
411,Antibacterial Bamboo,130,145,160,430,Meters,All-Season,Casual,Medium
412,Stain-Resistant Microfiber,140,155,175,500,Meters,All-Season,Sportswear,High
413,Reflective Safety Fabric,180,200,220,390,Meters,All-Season,Workwear,Medium
414,Heat-Resistant Kevlar,110,130,150,550,Meters,All-Season,Industrial,High
415,Bulletproof Aramid Fabric,90,105,120,600,Meters,All-Season,Security,High
416,Conductive Fabric,75,90,110,580,Meters,All-Season,Tech,High
417,Anti-Static Polypropylene,95,110,130,310,Meters,All-Season,Workwear,Low
418,Thermal Insulation Wool,140,155,170,490,Kilograms,Winter,Formal,High
419,Lightweight Ripstop Nylon,170,185,200,340,Meters,All-Season,Outdoor,Medium
420,High-Tenacity Polyester,160,175,190,320,Meters,All-Season,Sportswear,Medium
421,Smart Textile with Sensors,85,95,110,620,Meters,All-Season,Tech,High
422,Moisture-Wicking Polyester,110,125,140,350,Meters,Summer,Sportswear,Medium
423,Silver-Coated Antibacterial Fabric,140,155,175,700,Meters,All-Season,Medical,High
424,Phase-Change Cooling Fabric,130,145,160,580,Meters,Summer,Tech,High
425,Water-Absorbent Microfiber,190,205,225,290,Meters,Summer,Casual,Medium
426,High-Elasticity Spandex Blend,160,175,195,380,Meters,All-Season,Sportswear,Medium
427,Weatherproof Neoprene,110,125,140,480,Meters,All-Season,Outdoor,High
428,Non-Woven Polypropylene,85,100,120,270,Meters,All-Season,Workwear,Low
429,UV-Blocking Lycra,130,145,160,390,Meters,Summer,Sportswear,Medium
430,Carbon Fiber Reinforced Fabric,75,90,110,680,Meters,All-Season,Industrial,High
431,Fiberglass Mesh,85,100,120,450,Meters,All-Season,Industrial,Medium
432,High-Density Memory Foam Fabric,95,110,130,520,Meters,All-Season,Home Decor,High
433,Laminated Composite Fabric,110,125,140,490,Meters,All-Season,Industrial,High
434,Eco-Friendly Tencel Blend,140,155,175,370,Meters,Summer,Casual,Medium
435,Hemp-Cotton Organic Fabric,160,175,195,350,Meters,All-Season,Casual,Medium
436,Bamboo-Silk Luxury Blend,110,125,140,600,Meters,All-Season,Formal,High
437,Wool-Cashmere Deluxe Blend,85,100,120,720,Kilograms,Winter,Formal,High
438,Merino Wool-Tencel Hybrid,95,110,130,490,Kilograms,Winter,Formal,High
439,Jute-Rayon Natural Fiber Mix,75,90,110,320,Meters,Summer,Casual,Low
440,Velvet-Chiffon Elegant Fabric,130,145,160,550,Meters,All-Season,Formal,High
441,Satin-Brocade Formal Wear Fabric,85,100,120,590,Meters,All-Season,Formal,High
442,Fleece-Polyester Durable Blend,160,175,190,340,Meters,Winter,Casual,Medium
443,Piqué-Spandex Stretchable Fabric,95,110,130,420,Meters,All-Season,Sportswear,Medium
444,Linen-Denim Vintage Style Fabric,120,135,150,390,Meters,All-Season,Casual,Medium
445,Corduroy-Satin Hybrid Fabric,140,155,175,460,Meters,Winter,Casual,Medium
446,Poplin-Georgette Light Fabric,130,145,160,380,Meters,Summer,Casual,Medium
447,Gabardine-Wool Classic Suit Fabric,85,100,120,540,Meters,Winter,Formal,High
448,Jacquard-Organza Royal Fabric,95,110,130,570,Meters,All-Season,Formal,High
449,Taffeta-Velvet Opulent Fabric,110,125,140,490,Meters,All-Season,Formal,High
450,Polynosic-Viscose Soft Fabric,130,145,160,410,Meters,All-Season,Casual,Medium
451,Lyocell-Bamboo Sustainable Fabric,160,175,195,360,Meters,Summer,Casual,Medium
452,Wool-Linen-Coated Winter Fabric,110,125,140,480,Kilograms,Winter,Formal,High
453,Moisture-Proof Military Fabric,95,110,130,500,Meters,All-Season,Military,High
454,Flame-Retardant Upholstery Fabric,140,155,170,550,Meters,All-Season,Home Decor,High
455,Breathable 3D Air Mesh,160,175,195,320,Meters,All-Season,Sportswear,Medium
456,Super-Stretch Activewear Fabric,110,125,140,390,Meters,All-Season,Sportswear,Medium
457,Microfiber-Suede Ultra-Soft Fabric,140,155,175,430,Meters,All-Season,Home Decor,Medium
458,Tulle-Silk Evening Wear Fabric,85,100,120,570,Meters,All-Season,Formal,High
459,High-Performance Marathon Fabric,95,110,130,490,Meters,All-Season,Sportswear,High
460,Ice-Cold Cooling Fabric,120,135,150,420,Meters,Summer,Tech,High
461,Windproof Softshell Fabric,140,155,175,380,Meters,All-Season,Outdoor,Medium
462,Thermal-Heated Smart Fabric,85,100,120,600,Meters,Winter,Tech,High
463,Organic Muslin-Cotton Baby Fabric,130,145,160,350,Meters,Summer,Formal,Medium
464,Modal-Satin Hybrid Sleepwear Fabric,95,110,130,460,Meters,All-Season,Sleepwear,Medium
465,Wrinkle-Resistant Polyester,140,155,170,390,Meters,All-Season,Casual,Medium
466,Embossed Leather-Style Fabric,160,175,190,500,Meters,All-Season,Sleepwear,High
467,Carbon-Infused Athletic Fabric,110,125,140,470,Meters,All-Season,Sportswear,High
468,Bio-Degradable Biopolymer Fabric,110,125,140,500,Meters,All-Season,Formal,High
469,Water-Soluble Smart Fabric,100,115,130,480,Meters,All-Season,Casual,Medium
470,Cork-Infused Vegan Leather,95,110,125,470,Meters,All-Season,Formal,High
471,Silver-Thread Medical Fabric,105,120,135,520,Meters,All-Season,Medical,High
472,Conductive Graphene Textile,90,105,120,550,Meters,All-Season,Tech,High
473,Anti-Microbial Copper-Infused Fabric,125,140,155,490,Meters,All-Season,Medical,High
474,Seaweed-Based Fabric,115,130,145,460,Meters,All-Season,Casual,Medium
475,Algae-Derived Eco-Fabric,110,125,140,450,Meters,All-Season,Casual,Medium
476,Glow-in-the-Dark Textile,105,120,135,430,Meters,All-Season,Sportswear,Medium
477,LED-Embedded Interactive Fabric,120,135,150,600,Meters,All-Season,Tech,High
478,Recycled Ocean Plastic Fabric,140,155,170,480,Meters,All-Season,Sportswear,Medium
479,Thermochromic Color-Changing Fabric,130,145,160,510,Meters,All-Season,Tech,High
480,Self-Healing Nano-Fabric,95,110,125,540,Meters,All-Season,Tech,High
481,3D-Printed Custom Fabric,85,100,115,580,Meters,All-Season,Formal,High
482,Electrospun Nanofiber Textile,90,105,120,530,Meters,All-Season,Medical,High
483,Vegan Leather Alternative Fabric,100,115,130,490,Meters,All-Season,Formal,High
484,Water-Reactive Pattern Fabric,110,125,140,470,Meters,All-Season,Casual,Medium
485,Fragrance-Infused Perfume Fabric,115,130,145,460,Meters,All-Season,Ethnic,High
486,Liquid-Repelling Lotus-Effect Fabric,120,135,150,550,Meters,All-Season,Outdoor,High
487,Solar-Powered Charging Fabric,130,145,160,600,Meters,All-Season,Tech,High
488,Invisible Camouflage Fabric,105,120,135,520,Meters,All-Season,Military,High
489,Soundproof Acoustic Fabric,110,125,140,580,Meters,All-Season,Home Decor,High
490,Ultra-Lightweight Parachute Fabric,140,155,170,490,Meters,All-Season,Outdoor,Medium
491,Climate-Adaptive Fabric,135,150,165,550,Meters,All-Season,Tech,High
492,Self-Cleaning Hydrophobic Fabric,120,135,150,500,Meters,All-Season,Outdoor,Medium
493,Bullet-Absorbing Gel Fabric,125,140,155,650,Meters,All-Season,Military,High
494,Shape-Memory Smart Fabric,130,145,160,600,Meters,All-Season,Tech,High
495,Artificial Spider Silk High-Strength Fabric,115,130,145,700,Meters,All-Season,Tech,High
496,Super-Insulated Arctic Survival Fabric,110,125,140,750,Meters,Winter,Outdoor,High
497,Flexible OLED-Embedded Display Fabric,95,110,125,800,Meters,All-Season,Tech,High
498,Anti-Radiation Protective Fabric,85,100,115,720,Meters,All-Season,Medical,High
499,NASA-Inspired Space Suit Fabric,100,115,130,900,Meters,All-Season,Space,High
500,Future Tech Biodegradable Fabric,110,125,140,850,Meters,All-Season,Tech,High
